UF,regional,municipio,co_municipio,no_municipio
MG,SRE ITAJUBÁ,CARMO DE MINAS,3114105,Carmo de Minas
MG,SRE DIVINÓPOLIS,CARMO DO CAJURU,3114204,Carmo do Cajuru
MG,SRE PATOS DE MINAS,CARMO DO PARANAÍBA,3114303,Carmo do Paranaíba
MG,SRE PASSOS,CARMO DO RIO CLARO,3114402,Carmo do Rio Claro
GO,CRE-CERES,CARMO DO RIO VERDE,5205000,Carmo do Rio Verde
TO,ARAGUAINA,Carmolândia,1703883,Carmolândia
SE,DRE04,CARMOPOLIS,2801504,Carmópolis
MG,SRE DIVINÓPOLIS,CARMÓPOLIS DE MINAS,3114501,Carmópolis de Minas
PE,SERTÃO DO ALTO PAJEÚ (AFOGADOS DA INGAZEIRA),Carnaíba,2603900,Carnaíba
RN,9,carnauba dos dantas,2402402,Carnaúba dos Dantas
RN,11,carnaubais,2402501,Carnaubais
CE,CREDE 05,Carnaubal,2303402,Carnaubal
PE,SERTÃO DO SUBMÉDIO SÃO FRANCISCO (FLORESTA),Carnaubeira da Penha,2603926,Carnaubeira da Penha
MG,SRE UBERABA,CARNEIRINHO,3114550,Carneirinho
AL,6a GEE,Carneiros,2701803,Carneiros
RR,RR,Caroebe,1400233,Caroebe
MA,balsas,carolina,2102804,Carolina
PE,MATA NORTE (NAZARÉ DA MATA),Carpina,2604007,Carpina
MG,SRE SÃO JOÃO DEL REI,CARRANCAS,3114600,Carrancas
PB,Cajazeiras,Carrapateira,2504108,Carrapateira
TO,ARAGUATINS,Carrasco Bonito,1703891,Carrasco Bonito
PE,AGRESTE CENTRO NORTE (CARUARU),Caruaru,2604106,Caruaru
MA,ze doca,carutapera,2102903,Carutapera
MG,SRE VARGINHA,CARVALHÓPOLIS,3114709,Carvalhópolis
MG,SRE CAXAMBU,CARVALHOS,3114808,Carvalhos
SP,SAO JOAO DA BOA VISTA,CASA BRANCA,3510807,Casa Branca
MG,SRE CONSELHEIRO LAFAIETE,CASA GRANDE,3114907,Casa Grande
BA,10,Casa Nova,2907202,Casa Nova
RS,7º CRE (Passo Fundo),Casca,4304903,Casca
MG,SRE MONTE CARMELO,CASCALHO RICO,3115003,Cascalho Rico
CE,CREDE 09,Cascavel,2303501,Cascavel
PR,CASCAVEL,CASCAVEL,4104808,Cascavel
TO,PARAISO DO TOCANTINS,Caseara,1703909,Caseara
RS,7º CRE (Passo Fundo),Caseiros,4304952,Caseiros
RJ,SERRANA II,Casimiro de Abreu,3301306,Casimiro de Abreu
PE,VALE DO CAPIBARIBE (LIMOEIRO),Casinhas,2604155,Casinhas
PB,Guarabira,Casserengue,2504157,Casserengue
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,CÁSSIA,3115102,Cássia
SP,RIBEIRAO PRETO,CASSIA DOS COQUEIROS,3510906,Cássia dos Coqueiros
MS,CRE 10,Cassilândia,5002902,Cassilândia
PA,castanhal,castanhal,1502400,Castanhal
MT,JUINA,Castanheira,5102850,Castanheira
RO,ROLIM DE MOURA,Castanheiras,1100908,Castanheiras
GO,CRE-RIO VERDE,CASTELÂNDIA,5205059,Castelândia
ES,SRE Cachoeiro de Itapemirim,Castelo,3201407,Castelo
PI,05ª,CASTELO DO PIAUI,2202604,Castelo do Piauí
SP,ANDRADINA,CASTILHO,3511003,Castilho
PR,PONTA GROSSA,CASTRO,4104907,Castro
BA,21,CASTRO ALVES,2907301,Castro Alves
MG,SRE LEOPOLDINA,CATAGUASES,3115300,Cataguases
GO,CRE-CATALÃO,CATALÃO,5205109,Catalão
SP,CATANDUVA,CATANDUVA,3511102,Catanduva
PR,CASCAVEL,CATANDUVAS,4105003,Catanduvas
SC,Coordenadoria Regional de Educação de Joaçaba,Catanduvas,4204004,Catanduvas
CE,CREDE 16,Catarina,2303600,Catarina
MG,SRE METROPOLITANA A,CATAS ALTAS,3115359,Catas Altas
MG,SRE CONSELHEIRO LAFAIETE,CATAS ALTAS DA NORUEGA,3115409,Catas Altas da Noruega
PE,MATA SUL (PALMARES),Catende,2604205,Catende
SP,CATANDUVA,CATIGUA,3511201,Catiguá
PB,Patos,Catingueira,2504207,Catingueira
BA,11,Catolândia,2907400,Catolândia
PB,Catolé do Rocha,Catolé do Rocha,2504306,Catolé do Rocha
BA,18,CATU,2907509,Catu
RS,36º CRE (Ijuí),Catuípe,4305009,Catuípe
MG,SRE TEÓFILO OTONI,CATUJI,3115458,Catuji
CE,CREDE 13,Catunda,2303659,Catunda
GO,CRE-INHUMAS,CATURAÍ,5205208,Caturaí
BA,12,Caturama,2907558,Caturama
PB,Campina Grande,Caturité,2504355,Caturité
MG,SRE JANAÚBA,CATUTI,3115474,Catuti
CE,CREDE 01,Caucaia,2303709,Caucaia
GO,CRE-CAMPOS BELOS,CAVALCANTE,5205307,Cavalcante
MG,SRE CAXAMBU,CAXAMBU,3115508,Caxambu
SC,Coordenadoria Regional de Educação de Chapecó,Caxambu do Sul,4204103,Caxambu do Sul
MA,caxias,caxias,2103000,Caxias
RS,4º CRE (Caxias do Sul),Caxias do Sul,4305108,Caxias do Sul
PI,01ª,Caxingó,2202653,Caxingó
RN,5,Ceará-Mirim,2402600,Ceará-Mirim
MA,pinheiro,cedral,2103109,Cedral
SP,SAO JOSE DO RIO PRETO,CEDRAL,3511300,Cedral
CE,CREDE 17,Cedro,2303808,Cedro
PE,SERTÃO CENTRAL (SALGUEIRO),Cedro,2604304,Cedro
SE,DRE06,CEDRO DE SÃO JOAO,2801603,Cedro de São João
MG,SRE PARÁ DE MINAS,CEDRO DO ABAETÉ,3115607,Cedro do Abaeté
SC,Coordenadoria Regional de Educação de Campos Novos,Celso Ramos,4204152,Celso Ramos
RS,15º CRE (Erechim),Centenário,4305116,Centenário
TO,PEDRO AFONSO,Centenário,1704105,Centenário
PR,LONDRINA,CENTENARIO DO SUL,4105102,Centenário do Sul
BA,1,Central,2907608,Central
MG,SRE GOVERNADOR VALADARES,CENTRAL DE MINAS,3115706,Central de Minas
MA,pinheiro,central do maranhao,2103125,Central do Maranhão
MG,SRE ITUIUTABA,CENTRALINA,3115805,Centralina
MA,ze doca,centro do guilherme,2103158,Centro do Guilherme
MA,ze doca,centro novo do maranhao,2103174,Centro Novo do Maranhão
RO,CEREJEIRAS,Cerejeiras,1100056,Cerejeiras
GO,CRE-CERES,CERES,5205406,Ceres
SP,AVARE,CERQUEIRA CESAR,3511409,Cerqueira César
SP,ITU,CERQUILHO,3511508,Cerquilho
RS,5º CRE (Pelotas),Cerrito,4305124,Cerrito
PR,AREA METROPOLITANA NORTE,CERRO AZUL,4105201,Cerro Azul
RS,24º CRE (Cachoeira do Sul),Cerro Branco,4305132,Cerro Branco
RN,9,cerro cora,2402709,Cerro Corá
RS,20º CRE (Palmeira das Missões),Cerro Grande,4305157,Cerro Grande
RS,12º CRE (Guaíba),Cerro Grande do Sul,4305173,Cerro Grande do Sul
RS,14º CRE (Santo Ângelo),Cerro Largo,4305207,Cerro Largo
SC,Coordenadoria Regional de Educação de Lages,Cerro Negro,4204178,Cerro Negro
SP,BOTUCATU,CESARIO LANGE,3511607,Cesário Lange
PR,CASCAVEL,CEU AZUL,4105300,Céu Azul
GO,CRE-PALMEIRAS,CEZARINA,5205455,Cezarina
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),Chã de Alegria,2604403,Chã de Alegria
PE,MATA CENTRO (VITÓRIA DE SANTO ANTÃO),Chã Grande,2604502,Chã Grande
AL,4a GEE,Chã Preta,2701902,Chã Preta
MG,SRE JUIZ DE FORA,CHÁCARA,3115904,Chácara
MG,SRE MANHUAÇU,CHALÉ,3116001,Chalé
RS,39º CRE (Carazinho),Chapada,4305306,Chapada
TO,PORTO NACIONAL,Chapada da Natividade,1705102,Chapada da Natividade
TO,PARAISO DO TOCANTINS,Chapada de Areia,1704600,Chapada de Areia
MG,SRE ARAÇUAÍ,CHAPADA DO NORTE,3116100,Chapada do Norte
MT,CUIABÁ,Chapada dos Guimarães,5103007,Chapada dos Guimarães
MG,SRE JANUÁRIA,CHAPADA GAÚCHA,3116159,Chapada Gaúcha
GO,CRE-JATAI,CHAPADÃO DO CÉU,5205471,Chapadão do Céu
SC,Coordenadoria Regional de Educação de Ituporanga,Chapadão do Lageado,4204194,Chapadão do Lageado
MS,CRE 10,Chapadão do Sul,5002951,Chapadão do Sul
MA,chapadinha,chapadinha,2103208,Chapadinha
SC,Coordenadoria Regional de Educação de Chapecó,Chapecó,4204202,Chapecó
SP,PIRACICABA,CHARQUEADA,3511706,Charqueada
RS,12º CRE (Guaíba),Charqueadas,4305355,Charqueadas
RS,15º CRE (Erechim),Charrua,4305371,Charrua
CE,CREDE 04,Chaval,2303907,Chaval
SP,OURINHOS,CHAVANTES,3557204,Chavantes
PA,afuá,chaves,1502509,Chaves
MG,SRE JUIZ DE FORA,CHIADOR,3116209,Chiador
RS,36º CRE (Ijuí),Chiapetta,4305405,Chiapetta
PR,PATO BRANCO,CHOPINZINHO,4105409,Chopinzinho
CE,CREDE 12,Choro,2303931,Choró
CE,CREDE 09,Chorozinho,2303956,Chorozinho
BA,24,CHORROCHO,2907707,Chorrochó
RS,18º CRE (Rio Grande),Chuí,4305439,Chuí
RO,VILHENA,Chupinguaia,1100924,Chupinguaia
RS,12º CRE (Guaíba),Chuvisca,4305447,Chuvisca
PR,CIANORTE,CIANORTE,4105508,Cianorte
BA,17,Cícero Dantas,2907806,Cícero Dantas
PR,CIANORTE,CIDADE GAUCHA,4105607,Cidade Gaúcha
GO,CRE-NOVO GAMA,CIDADE OCIDENTAL,5205497,Cidade Ocidental
MA,açailandia,cidelandia,2103257,Cidelândia
RS,11º CRE (Osório),Cidreira,4305454,Cidreira
BA,17,Cipó,2907905,Cipó
MG,SRE BARBACENA,CIPOTÂNEA,3116308,Cipotânea
RS,7º CRE (Passo Fundo),Ciríaco,4305504,Ciríaco
MG,SRE SÃO SEBASTIÃO DO PARAÍSO,CLARAVAL,3116407,Claraval
MG,SRE MONTES CLAROS,CLARO DOS POÇÕES,3116506,Claro dos Poções
MT,SINOP,Cláudia,5103056,Cláudia
MG,SRE DIVINÓPOLIS,CLÁUDIO,3116605,Cláudio
SP,PENAPOLIS,CLEMENTINA,3511904,Clementina
PR,PATO BRANCO,CLEVELANDIA,4105706,Clevelândia
BA,5,Coaraci,2908002,Coaraci
AM,Centro Amazonense,Coari,1301209,Coari
PI,01ª,COCAL,2202703,Cocal
PI,05ª,COCAL DE TELHA,2202711,Cocal de Telha
SC,Coordenadoria Regional de Educação de Criciúma,Cocal do Sul,4204251,Cocal do Sul
PI,01ª,COCAL DOS ALVES,2202729,Cocal dos Alves
MT,BARRA DO GARÇAS,Cocalinho,5103106,Cocalinho
GO,CRE-ANÁPOLIS,COCALZINHO DE GOIÁS,5205513,Cocalzinho de Goiás
BA,23,COCOS,2908101,Cocos
AM,Centro Amazonense,Codajás,1301308,Codajás
MA,codo,codo,2103307,Codó
MA,caxias,coelho neto,2103406,Coelho Neto
MG,SRE UBÁ,COIMBRA,3116704,Coimbra
AL,5a GEE,Coité do Nóia,2702009,Coité do Nóia
PI,18ª,COIVARAS,2202737,Coivaras
PA,santa izabel do Pará,colares,1502608,Colares
ES,SRE Colatina,Colatina,3201506,Colatina
MT,SINOP,Colíder,5103205,Colíder
SP,BARRETOS,COLINA,3512001,Colina
MA,são joao dos patos,colinas,2103505,Colinas
RS,3º CRE (Estrela),Colinas,4305587,Colinas
GO,CRE-MINAÇU,COLINAS DO SUL,5205521,Colinas do Sul
TO,COLINAS DO TOCANTINS,Colinas do Tocantins,1705508,Colinas do Tocantins
TO,GUARAI,Colméia,1716703,Colméia
MT,JUINA,Colniza,5103254,Colniza
SP,BARRETOS,COLOMBIA,3512100,Colômbia
PR,AREA METROPOLITANA NORTE,COLOMBO,4105805,Colombo
PI,14ª,COLONIA DO GURGUEIA,2202752,Colônia do Gurguéia
PI,08ª,COLONIA DO PIAUI,2202778,Colônia do Piauí
AL,7a GEE,Colônia Leopoldina,2702108,Colônia Leopoldina
PR,MARINGA,COLORADO,4105904,Colorado
RS,39º CRE (Carazinho),Colorado,4305603,Colorado
RO,VILHENA,Colorado do Oeste,1100064,Colorado do Oeste
MG,SRE GUANHÃES,COLUNA,3116803,Coluna
TO,ARRAIAS,Combinado,1705557,Combinado
MG,SRE UBERABA,COMENDADOR GOMES,3116902,Comendador Gomes
RJ,SERRANA I,Comendador Levy Gasparian,3300951,Comendador Levy Gasparian
MG,SRE ARAÇUAÍ,COMERCINHO,3117009,Comercinho
MT,PONTES E LACERDA,Comodoro,5103304,Comodoro
PB,Itaporanga,Conceição,2504405,Conceição
MG,SRE POÇOS DE CALDAS,CONCEIÇÃO DA APARECIDA,3117108,Conceição da Aparecida
ES,SRE São Mateus,Conceição da Barra,3201605,Conceição da Barra
MG,SRE SÃO JOÃO DEL REI,CONCEIÇÃO DA BARRA DE MINAS,3115201,Conceição da Barra de Minas
BA,19,CONCEICAO DA FEIRA,2908200,Conceição da Feira
MG,SRE UBERABA,CONCEIÇÃO DAS ALAGOAS,3117306,Conceição das Alagoas
MG,SRE ITAJUBÁ,CONCEIÇÃO DAS PEDRAS,3117207,Conceição das Pedras
MG,SRE MANHUAÇU,CONCEIÇÃO DE IPANEMA,3117405,Conceição de Ipanema
RJ,NORTE FLUMINENSE,Conceição de Macabu,3301405,Conceição de Macabu
BA,21,CONCEICAO DO ALMEIDA,2908309,Conceição do Almeida
PA,conceição do araguaia,conceição do araguaia,1502707,Conceição do Araguaia
PI,17ª,CONCEICAO DO CANINDE,2202802,Conceição do Canindé
ES,SRE Afonso Cláudio,Conceição do Castelo,3201704,Conceição do Castelo
BA,4,Conceição do Coité,2908408,Conceição do Coité
BA,19,CONCEICAO DO JACUIPE,2908507,Conceição do Jacuípe
MA,bacabal,Conceição do Lago-Açu,2103554,Conceição do Lago-Açu
MG,SRE DIAMANTINA,CONCEIÇÃO DO MATO DENTRO,3117504,Conceição do Mato Dentro
MG,SRE PARÁ DE MINAS,CONCEIÇÃO DO PARÁ,3117603,Conceição do Pará
MG,SRE CAXAMBU,CONCEIÇÃO DO RIO VERDE,3117702,Conceição do Rio Verde
TO,DIANOPOLIS,Conceição do Tocantins,1705607,Conceição do Tocantins
MG,SRE ITAJUBÁ,CONCEIÇÃO DOS OUROS,3117801,Conceição dos Ouros
SP,MOGI MIRIM,CONCHAL,3512209,Conchal
SP,BOTUCATU,CONCHAS,3512308,Conchas
SC,Coordenadoria Regional de Educação de Concórdia,Concórdia,4204301,Concórdia
PA,santa izabel do Pará,concórdia do Pará,1502756,Concórdia do Pará
PB,Pombal,Condado,2504504,Condado
PE,MATA NORTE (NAZARÉ DA MATA),Condado,2604601,Condado
BA,18,CONDE,2908606,Conde
PB,João Pessoa,Conde,2504603,Conde
BA,20,CONDEUBA,2908705,Condeúba
RS,36º CRE (Ijuí),Condor,4305702,Condor
MG,SRE JANUÁRIA,CÔNEGO MARINHO,3117836,Cônego Marinho
MG,SRE METROPOLITANA C,CONFINS,3117876,Confins
MT,CONFRESA,Confresa,5103353,Confresa
PB,Monteiro,Congo,2504702,Congo
MG,SRE POUSO ALEGRE,CONGONHAL,3117900,Congonhal
MG,SRE CONSELHEIRO LAFAIETE,CONGONHAS,3118007,Congonhas
MG,SRE DIAMANTINA,CONGONHAS DO NORTE,3118106,Congonhas do Norte
PR,CORNELIO PROCOPIO,CONGONHINHAS,4106001,Congonhinhas
MG,SRE UBERABA,CONQUISTA,3118205,Conquista
MT,PONTES E LACERDA,Conquista D'Oeste,5103361,Conquista D'Oeste
MG,SRE CONSELHEIRO LAFAIETE,CONSELHEIRO LAFAIETE,3118304,Conselheiro Lafaiete
PR,IBAITI,CONSELHEIRO MAIRINCK,4106100,Conselheiro Mairinck
MG,SRE GOVERNADOR VALADARES,CONSELHEIRO PENA,3118403,Conselheiro Pena
MG,SRE ITAJUBÁ,CONSOLAÇÃO,3118502,Consolação
RS,39º CRE (Carazinho),Constantina,4305801,Constantina
MG,SRE METROPOLITANA B,CONTAGEM,3118601,Contagem
PR,AREA METROPOLITANA SUL,CONTENDA,4106209,Contenda
BA,13,Contendas do Sincorá,2908804,Contendas do Sincorá
MG,SRE VARGINHA,COQUEIRAL,3118700,Coqueiral
RS,3º CRE (Estrela),Coqueiro Baixo,4305835,Coqueiro Baixo
AL,12a GEE,Coqueiro Seco,2702207,Coqueiro Seco
RS,39º CRE (Carazinho),Coqueiros do Sul,4305850,Coqueiros do Sul
MG,SRE MONTES CLAROS,CORAÇÃO DE JESUS,3118809,Coração de Jesus
BA,19,CORACAO DE MARIA,2908903,Coração de Maria
PR,CASCAVEL,CORBELIA,4106308,Corbélia
RJ,SERRANA II,Cordeiro,3301504,Cordeiro
SP,LIMEIRA,CORDEIROPOLIS,3512407,Cordeirópolis
BA,20,CORDEIROS,2909000,Cordeiros
SC,Coordenadoria Regional de Educação de Chapecó,Cordilheira Alta,4204350,Cordilheira Alta
MG,SRE SETE LAGOAS,CORDISBURGO,3118908,Cordisburgo
MG,SRE VARGINHA,CORDISLÂNDIA,3119005,Cordislândia
CE,CREDE 06,Coreaú,2304004,Coreaú
PB,Itaporanga,Coremas,2504801,Coremas
MS,CRE 2,Corguinho,5003108,Corguinho
BA,23,CORIBE,2909109,Coribe
MG,SRE CURVELO,CORINTO,3119104,Corinto
PR,CORNELIO PROCOPIO,CORNELIO PROCOPIO,4106407,Cornélio Procópio
MG,SRE GOVERNADOR VALADARES,COROACI,3119203,Coroaci
SP,BIRIGUI,COROADOS,3512506,Coroados
MA,codo,coroata,2103604,Coroatá
MG,SRE MONTE CARMELO,COROMANDEL,3119302,Coromandel
RS,36º CRE (Ijuí),Coronel Barros,4305871,Coronel Barros
RS,21º CRE (Três Passos),Coronel Bicaco,4305900,Coronel Bicaco
PR,PATO BRANCO,CORONEL DOMINGOS SOARES,4106456,Coronel Domingos Soares
RN,7,coronel ezequiel,2402808,Coronel Ezequiel
MG,SRE CORONEL FABRICIANO,CORONEL FABRICIANO,3119401,Coronel Fabriciano
SC,Coordenadoria Regional de Educação de Chapecó,Coronel Freitas,4204400,Coronel Freitas
RN,15,coronel joao pessoa,2402907,Coronel João Pessoa
BA,17,Coronel João Sá,2909208,Coronel João Sá
PI,13ª,CORONEL JOSE DIAS,2202851,Coronel José Dias
SP,ITARARE,CORONEL MACEDO,3512605,Coronel Macedo
SC,Coordenadoria Regional de Educação de São Lourenço do Oeste,Coronel Martins,4204459,Coronel Martins
MG,SRE ARAÇUAÍ,CORONEL MURTA,3119500,Coronel Murta
MG,SRE JUIZ DE FORA,CORONEL PACHECO,3119609,Coronel Pacheco
RS,16º CRE (Bento Gonçalves),Coronel Pilar,4305934,Coronel Pilar
MS,CRE 11,Coronel Sapucaia,5003157,Coronel Sapucaia
PR,PATO BRANCO,CORONEL VIVIDA,4106506,Coronel Vivida
MG,SRE SÃO JOÃO DEL REI,CORONEL XAVIER CHAVES,3119708,Coronel Xavier Chaves
MG,SRE DIVINÓPOLIS,CÓRREGO DANTA,3119807,Córrego Danta
MG,SRE POUSO ALEGRE,CÓRREGO DO BOM JESUS,3119906,Córrego do Bom Jesus
GO,CRE-SÃO L. M. BELOS,CÓRREGO DO OURO,5205703,Córrego do Ouro
MG,SRE PASSOS,CÓRREGO FUNDO,3119955,Córrego Fundo
MG,SRE CARATINGA,CÓRREGO NOVO,3120003,Córrego Novo
SC,Coordenadoria Regional de Educação de Lages,Correia Pinto,4204558,Correia Pinto
PI,15ª,CORRENTE,2202901,Corrente
PE,AGRESTE MERIDIONAL (GARANHUNS),Correntes,2604700,Correntes
BA,23,CORRENTINA,2909307,Correntina
PE,MATA SUL (PALMARES),Cortês,2604809,Cortês
MS,CRE 3,Corumbá,5003207,Corumbá
GO,CRE-ANÁPOLIS,CORUMBA DE GOIÁS,5205802,Corumbá de Goiás
GO,CRE-CATALÃO,CORUMBAÍBA,5205901,Corumbaíba
SP,SAO CARLOS,CORUMBATAI,3512704,Corumbataí
PR,CAMPO MOURAO,CORUMBATAI DO SUL,4106555,Corumbataí do Sul
RO,CEREJEIRAS,Corumbiara,1100072,Corumbiara
SC,Coordenadoria Regional de Educação de Jaraguá do Sul,Corupá,4204509,Corupá
AL,2a GEE,Coruripe,2702306,Coruripe
SP,LIMEIRA,COSMOPOLIS,3512803,Cosmópolis
SP,VOTUPORANGA,COSMORAMA,3512902,Cosmorama
RO,COSTA MARQUES,Costa Marques,1100080,Costa Marques
MS,CRE 4,Costa Rica,5003256,Costa Rica
BA,11,Cotegipe,2909406,Cotegipe
SP,CARAPICUIBA,COTIA,3513009,Cotia
RS,16º CRE (Bento Gonçalves),Cotiporã,4305959,Cotiporã
MT,JUINA,Cotriguaçu,5103379,Cotriguaçu
MG,SRE DIAMANTINA,COUTO DE MAGALHÃES DE MINAS,3120102,Couto de Magalhães de Minas
TO,GUARAI,Couto Magalhães,1706001,Couto Magalhães
RS,7º CRE (Passo Fundo),Coxilha,4305975,Coxilha
MS,CRE 4,Coxim,5003306,Coxim
PB,Monteiro,Coxixola,2504850,Coxixola
AL,5a GEE,Craíbas,2702355,Craíbas
CE,CREDE 13,Crateús,2304103,Crateús
CE,CREDE 18,Crato,2304202,Crato
SP,RIBEIRAO PRETO,CRAVINHOS,3513108,Cravinhos
BA,9,Cravolândia,2909505,Cravolândia
SC,Coordenadoria Regional de Educação de Criciúma,Criciúma,4204608,Criciúma
MG,SRE TEÓFILO OTONI,CRISÓLITA,3120151,Crisólita
BA,18,CRISOPOLIS,2909604,Crisópolis
RS,21º CRE (Três Passos),Crissiumal,4306007,Crissiumal
MG,SRE CAMPO BELO,CRISTAIS,3120201,Cristais
SP,FRANCA,CRISTAIS PAULISTA,3513207,Cristais Paulista
RS,5º CRE (Pelotas),Cristal,4306056,Cristal
RS,20º CRE (Palmeira das Missões),Cristal do Sul,4306072,Cristal do Sul
TO,PARAISO DO TOCANTINS,Cristalândia,1706100,Cristalândia
PI,15ª,CRISTALANDIA DO PIAUI,2203008,Cristalândia do Piauí
MG,SRE MONTES CLAROS,CRISTÁLIA,3120300,Cristália
GO,CRE-LUZIÂNIA,CRISTALINA,5206206,Cristalina
MG,SRE CONSELHEIRO LAFAIETE,CRISTIANO OTONI,3120409,Cristiano Otoni
GO,CRE-PIRACANJUBA,CRISTIANÓPOLIS,5206305,Cristianópolis
MG,SRE ITAJUBÁ,CRISTINA,3120508,Cristina
SE,DRE01,CRISTINAPOLIS,2801702,Cristinápolis
PI,14ª,CRISTINO CASTRO,2203107,Cristino Castro
BA,11,Cristópolis,2909703,Cristópolis
GO,CRE-ITAPACI,CRIXÁS,5206404,Crixás
TO,GURUPI,Crixás do Tocantins,1706258,Crixás do Tocantins
CE,CREDE 05,Croatá,2304236,Croatá
GO,CRE-PIRACANJUBA,CROMÍNIA,5206503,Cromínia
MG,SRE METROPOLITANA A,CRUCILÂNDIA,3120607,Crucilândia
CE,CREDE 03,Cruz,2304251,Cruz
RS,9º CRE (Cruz Alta),Cruz Alta,4306106,Cruz Alta
BA,21,CRUZ DAS ALMAS,2909802,Cruz das Almas
PB,João Pessoa,Cruz do Espírito Santo,2504900,Cruz do Espírito Santo
PR,UNIAO DA VITORIA,CRUZ MACHADO,4106803,Cruz Machado
SP,ASSIS,CRUZALIA,3513306,Cruzália
RS,15º CRE (Erechim),Cruzaltense,4306130,Cruzaltense
SP,GUARATINGUETA,CRUZEIRO,3513405,Cruzeiro
MG,SRE PATROCÍNIO,CRUZEIRO DA FORTALEZA,3120706,Cruzeiro da Fortaleza
PR,DOIS VIZINHOS,CRUZEIRO DO IGUACU,4106571,Cruzeiro do Iguaçu
PR,UMUARAMA,CRUZEIRO DO OESTE,4106605,Cruzeiro do Oeste
AC,JURUÁ,CRUZEIRO DO SUL,1200203,Cruzeiro do Sul
PR,PARANAVAI,CRUZEIRO DO SUL,4106704,Cruzeiro do Sul
RS,3º CRE (Estrela),Cruzeiro do Sul,4306205,Cruzeiro do Sul
RN,9,cruzeta,2403004,Cruzeta
MG,SRE CAXAMBU,CRUZÍLIA,3120805,Cruzília
PR,APUCARANA,CRUZMALTINA,4106852,Cruzmaltina
SP,SANTOS,CUBATAO,3513504,Cubatão
PB,Cuité,Cubati,2505006,Cubati
MT,CUIABÁ,Cuiabá,5103403,Cuiabá
PB,Cuité,Cuité,2505105,Cuité
PB,Mamanguape,Cuité de Mamanguape,2505238,Cuité de Mamanguape
PB,Guarabira,Cuitegi,2505204,Cuitegi
RO,ARIQUEMES,Cujubim,1100940,Cujubim
GO,CRE-CATALÃO,CUMARI,5206602,Cumari
PE,VALE DO CAPIBARIBE (LIMOEIRO),Cumaru,2604908,Cumaru
PA,conceição do araguaia,cumaru do Norte,1502764,Cumaru do Norte
SE,DRE05,CUMBE,2801900,Cumbe
SP,GUARATINGUETA,CUNHA,3513603,Cunha
SC,Coordenadoria Regional de Educação de Palmitos,Cunha Porã,4204707,Cunha Porã
SC,Coordenadoria Regional de Educação de Palmitos,Cunhataí,4204756,Cunhataí
MG,SRE GOVERNADOR VALADARES,CUPARAQUE,3120839,Cuparaque
PE,AGRESTE CENTRO NORTE (CARUARU),Cupira,2605004,Cupira
BA,10,Curaçá,2909901,Curaçá
PI,15ª,CURIMATA,2203206,Curimatá
PA,Parauapebas,curionópolis,1502772,Curionópolis
PR,CURITIBA,CURITIBA,4106902,Curitiba
SC,Coordenadoria Regional de Educação de Curitibanos,Curitibanos,4204806,Curitibanos
PR,TELEMACO BORBA,CURIUVA,4107009,Curiúva
PI,14ª,CURRAIS,2203230,Currais
RN,9,currais novos,2403103,Currais Novos
PB,Mamanguape,Curral de Cima,2505279,Curral de Cima
MG,SRE ALMENARA,CURRAL DE DENTRO,3120870,Curral de Dentro
PI,17ª,Curral Novo do Piauí,2203271,Curral Novo do Piauí
PB,Itaporanga,Curral Velho,2505303,Curral Velho
PA,curralinho,curralinho,1502806,Curralinho
PI,18ª,Curralinhos,2203255,Curralinhos
PA,Óbidos,curuá,1502855,Curuá
PA,castanhal,curuçá,1502905,Curuçá
MA,pinheiro,cururupu,2103703,Cururupu
MT,CÁCERES,Curvelândia,5103437,Curvelândia
MG,SRE CURVELO,CURVELO,3120904,Curvelo
PE,SERTÃO DO MOXOTÓ IPANEMA (ARCOVERDE),Custódia,2605103,Custódia
AP,AP,Cutias,1600212,Cutias
GO,CRE-POSSE,DAMIANÓPOLIS,5206701,Damianópolis
PB,Cuité,Damião,2505352,Damião
GO,CRE-INHUMAS,DAMOLÂNDIA,5206800,Damolândia
TO,TOCANTINOPOLIS,Darcinópolis,1706506,Darcinópolis
BA,22,DARIO MEIRA,2910008,Dário Meira
MG,SRE DIAMANTINA,DATAS,3121001,Datas
RS,7º CRE (Passo Fundo),David Canabarro,4306304,David Canabarro
GO,CRE-CATALÃO,DAVINÓPOLIS,5206909,Davinópolis
MA,imperatriz,davinopolis,2103752,Davinópolis
MG,SRE ITAJUBÁ,DELFIM MOREIRA,3121100,Delfim Moreira
MG,SRE PASSOS,DELFINÓPOLIS,3121209,Delfinópolis
AL,11a GEE,Delmiro Gouveia,2702405,Delmiro Gouveia
MG,SRE UBERABA,DELTA,3121258,Delta
PI,18ª,DEMERVAL LOBAO,2203305,Demerval Lobão
MT,TANGARÁ DA SERRA,Denise,5103452,Denise
MS,CRE 5,Deodápolis,5003454,Deodápolis
CE,CREDE 14,Deputado Irapuan Pinheiro,2304269,Deputado Irapuan Pinheiro
RS,21º CRE (Três Passos),Derrubadas,4306320,Derrubadas
SP,SAO CARLOS,DESCALVADO,3513702,Descalvado
SC,Coordenadoria Regional de Educação de São Miguel do Oeste,Descanso,4204905,Descanso
MG,SRE JUIZ DE FORA,DESCOBERTO,3121308,Descoberto
PB,Patos,Desterro,2505402,Desterro
